feature,importance
Tot sum,0.10570607062335463
Rate,0.09910387965518809
IAT,0.07947300997045155
Tot size,0.07233581794476238
AVG,0.06714792100398932
Max,0.06267517516547655
Number,0.05352810031374872
Time_To_Live,0.04038216800136994
Header_Length,0.0389776538986999
Min,0.03861962904711754
Std,0.037107058543053226
Variance,0.03627959087249113
ack_flag_number,0.03253423666379392
HTTPS,0.03182626119762816
ack_count,0.02765321729026791
Protocol Type,0.026469240084046646
psh_flag_number,0.024484461720857983
TCP,0.018323291204789545
UDP,0.012804823605999514
ICMP,0.011712133948007603
syn_flag_number,0.011254472891953055
syn_count,0.010591734854422255
HTTP,0.007702903840423784
fin_flag_number,0.007689535835958569
fin_count,0.007651349479565573
LLC,0.006724773396616448
ARP,0.006470576434149324
IPv,0.005752465767711642
DNS,0.005199110320956104
rst_flag_number,0.005103862921641372
rst_count,0.004927982948331004
SSH,0.0018792293094491198
DHCP,0.0014159135035303185
ece_flag_number,0.00017989713675407122
IGMP,0.0001738153899082014
cwr_flag_number,4.2148573667506765e-05
IRC,3.824172649686793e-05
SMTP,2.956884884861134e-05
Telnet,2.8676064522003796e-05
