feature,importance
Rate,0.0847652262728144
IAT,0.07001473046518132
Tot sum,0.06255789989981031
Header_Length,0.06237172079735698
Tot size,0.05552352276019713
AVG,0.055338149978002786
Max,0.04583037504644655
Std,0.040671486641302795
Time_To_Live,0.03879121864383026
Variance,0.03745379679743515
ack_count,0.03489220394211874
TCP,0.03300857976762563
UDP,0.032584922460521304
psh_flag_number,0.032450748588880605
syn_count,0.031224174023864387
Protocol Type,0.030620921055390056
ack_flag_number,0.02942170926101279
syn_flag_number,0.027413664242438854
fin_flag_number,0.025055417654166127
ICMP,0.02428295891169884
fin_count,0.02262007129130342
Number,0.02207220445632577
HTTPS,0.020028692662302994
Min,0.018660472601352014
HTTP,0.014823300957907222
rst_count,0.012638199216060526
rst_flag_number,0.008525396609176734
IPv,0.005679849886642172
DNS,0.005361330853529534
LLC,0.0053259751562201255
ARP,0.005286476034656154
DHCP,0.0028713173869303315
SSH,0.0012953265855762807
IGMP,0.00017365388015744285
SMTP,0.0001341969557851682
IRC,8.50788267146236e-05
Telnet,7.702674980363963e-05
ece_flag_number,6.573398764081795e-05
cwr_flag_number,2.2686918200234894e-06
